
last year | at | CES
He | goals.Following | launch of devices
He | goals.Following | launch
goals.Following | launch of | new devices
existing Android Wear watches | will get | update
existing Android watches | will get | update
Android | Wear | 2.0
Google | to | Nexus smartphone program in terms of collaboration
Android Wear watches | will get | update
He | goals.Following | launch of new devices
goals.Following | launch of | devices
Android watches | will get | update
Google 's Nexus smartphone program | is in | terms of collaboration
platform | brings | number of features
platform | brings | number of new features
new platform | brings | number of new features
platform | brings | number
new platform | brings | number
new platform | brings | number of features
Google | for | voice-controlled Assistant
new watches | coming | next year
LG Watch Urbane 2nd Edition | has | NFC support
watches | coming | next year
watches | coming | year
new watches | coming | year
LG Watch Urbane Edition | has | NFC support
Google | will release | fifth developer preview
Android | Pay on | supported devices
it | include | support
Android | Pay on | devices in it
Android | Pay on | devices
it | is | expected
supported devices | is in | it
it | include | support for Google Assistant
Android | Wear | 2.0
Google | will release | developer preview
Android | Pay on | supported devices in it
Google | has | flagship
Baselworld trade show | is in | later 2017
Partner announcements | are | expected at CES in couple of weeks
Partner announcements | are | expected at CES in couple
Partner announcements | are expected at | CES
smartwatches | is in | general.Though
leader | is in | fitness trackers
it | move into | smartwatch market
Fitbit | is leader in | fitness trackers
it | looking | move
it | looking | move into smartwatch market
Fitbit | is | leader
Google | has | strategy working with many partners Android Wear advantageous
Google | is optimistic about | prospects
We | 've enabled | lot of diversity with our hardware partners
We | 've enabled | lot
Google | is | optimistic
lot | target | different types of consumers
Google | is optimistic about | prospects of smartwatches
We | 've enabled | lot of diversity
Google | is | quite optimistic
lot | target | different types
lot | target | types of consumers
Google | is quite optimistic about | prospects
lot | target | types
Google | is quite optimistic about | prospects of smartwatches
diversity | is with | our hardware partners
Lauren Goode | contributed to | 2:05 PM ET
you | leap into | back of wrong Toyota Camry
you | inadvertently leap into | back
it | has | late
you | inadvertently leap into | back of wrong Toyota Camry
you | leap into | back
you | leap into | back of Toyota Camry
you | inadvertently leap into | back of Toyota Camry
you | could check for | right license plate number
you | could check for | license plate number
you | guide | you
you need | is device | you control
Meet Beacon | foray into | hardware
Uber | has | first foray into hardware
Beacon | is | glowing
Beacon | is | plastic
driver | accepts | your ride request
driver | so accepts | your ride request
that | asks | you
you | choose | color
you | choose | specific color
driver | has | Beacon
you | choose | green
it | Choose | magenta
it | will glow | magenta
he | arrives at | your destination
Nikhil Goel | lead on | Beacon project
You | can match | license plate
Nikhil Goel | told | me
you | personalize | your ride
we | 're giving | you
I | got | play with Beacon yesterday
I | got | play yesterday
I | got | play
I | got | play with Beacon
I | got | play with Beacon yesterday at Uber 's New York City headquarters
I | play at_time | yesterday
I | play at | Uber 's New York City headquarters
I | got | play at Uber 's New York City headquarters
I | got | play with Beacon at Uber 's New York City headquarters
I | got | play yesterday at Uber 's New York City headquarters
I | play with | Beacon
Uber | at | New York City headquarters
color | corresponded to | color of Beacon
right color | corresponded to | color
Goel | showed | me
Goel | moving slider in | app
color | corresponded to | color
Goel | moving in | app
right color | corresponded to | color of Beacon
Goel | moving | slider
effect | was | cool
color projects | is in | darkness
it | be | seen how
effect | was | very cool
it | remains | seen how
it | be | seen
it | remains | seen
Beacon | is offshoot of | product pilot launched
Beacon | is offshoot of | product pilot launched in Seattle almost year ago
Beacon | is offshoot of | product pilot launched in Seattle ago
Beacon | is offshoot of | product pilot
Beacon | is offshoot of | product pilot launched by Uber in Seattle ago
Beacon | is | offshoot
Beacon | is offshoot of | product pilot launched by Uber in Seattle year ago
Beacon | is offshoot of | product pilot launched by Uber in Seattle almost year ago
Beacon | is offshoot of | product pilot launched by Uber
Beacon | is offshoot of | product pilot launched ago
Beacon | is offshoot of | product pilot launched by Uber ago
Beacon | is offshoot of | product pilot launched by Uber in Seattle
product pilot | launched by | Uber
product pilot | launched ago in | Seattle
Beacon | is offshoot of | product pilot launched in Seattle year ago
Beacon | is offshoot of | Spot
Beacon | is offshoot of | product pilot launched by Uber almost year ago
product pilot | launched in | Seattle
product pilot | launched ago by | Uber
Beacon | is offshoot of | product pilot launched in Seattle
Beacon | is offshoot of | product pilot launched almost year ago
Beacon | is offshoot of | product pilot launched year ago
Beacon | is offshoot of | product pilot launched by Uber year ago
Uber | provided | its Seattle drivers
Riders | could control | color of device
they | could identify | their drivers
Riders | could control | color
they | could better identify | their drivers
Spot | reduced | need for riders
Spot | reduced | need
feedback | convinced | Uber
positive feedback | convinced | Uber
Uber | take | it
we | design | new hardware
Spot | was | well-received
John Badalamenti | lead at | Uber
Spot | was well-received in | Seattle
we | design | hardware
this | be seen | sensitive to installation process
this | be seen | very sensitive
we | design | this
this | be | seen
this | be seen | very sensitive to installation process
this | be seen | sensitive
this | be seen at | night
goal | develop | something
Beacon | had | inexpensive
Uber | given | $ 68 billion valuation
it | look | familiar
it | also needed | look
it | needed | look
Beacon | look like | its new logo
Beacon | look like | its logo
it | has | sensitive
it | has | situation
you | 're familiar with | environment in car
you | 're | familiar
it | has | very sensitive situation
environment | is in | car
it | has | sensitive situation
you | 're familiar with | environment
design detail | gets | where lost
subtle design detail | gets | lost
subtle design detail | gets | where lost
design detail | gets | lost
Uber | considered | design detail
That | floated | few
That | instead floated | few
centimeters drivers | could see | reflection
Beacon 's color | can | can customized
Beacon 's color | correspond with | events
Beacon 's color | can | can customized like Pride Week
Beacon 's color | correspond with | certain events
Beacon 's color | can | can also customized
Beacon 's color | can | can also customized like Pride Week
Beacon | has | color
device | is | wireless
drivers | is in | five cities
Drivers | will | will invited
Beacon | may look | little familiar
Beacon | may look | little
its own candy-colored device | called | Amp
its own device | called | Amp
its candy-colored device | called | Amp
its device | called | Amp
both | replace | company 's iconic pink mustache logo
both | replace | company 's furry pink mustache logo
both | replace | company 's iconic furry pink mustache logo
company | has | iconic furry pink mustache logo
both | replace | company 's pink mustache logo
Amp | has | two LED displays
Messages | can | can displayed
Uber | decided | go
Uber | Surprisingly decided | go
confluence | is at | its peak
New Year | before | Eve
confluence | is at | when its peak
idea | seems like | fair deal
ride-sharing drivers | have attached to | their dashboards
idea | taking | some
drivers | have attached to | their dashboards
idea | seems Given | number
idea | seems like | deal
platform | toward | 140-character limit
company | Beginning | September 19th
Media attachments | will reduce | count
limit | is in | May
room | announced | plans stop
room | first announced | plans
extra room | announced | plans stop
room | announced | plans
extra room | announced | plans
extra room | first announced | plans
extra room | first announced | plans stop
room | first announced | plans stop
Twitter spokesperson | declined | comment
usernames | count at | when beginning of replies
plans | could change.Another | adjustment to character limit
usernames | count at | when beginning
plans | new adjustment to | character limit
plans | could change.Another | adjustment
they | 're at | beginning of replies
company | with | business
usernames | count at | beginning of replies
plans | could change.Another | new adjustment
they | 're at | when beginning
plans | could change.Another | new adjustment to character limit
plans | adjustment to | character limit
they | 're at | beginning
usernames | count at | beginning
they | 're at | when beginning of replies
content types | gradually stop | counting
certain types | stop | counting
types | stop | counting against character limit
content types | counting against | character limit
certain types | gradually stop | counting
certain types | counting against | character limit
certain content types | gradually stop | counting against character limit
It | has | unclear
content types | stop | counting against character limit
certain content types | counting against | character limit
types | gradually stop | counting against character limit
certain types | stop | counting against character limit
certain types | gradually stop | counting against character limit in stages
certain content types | gradually stop | counting against character limit in stages
types | counting against | character limit
certain types | gradually stop | counting against character limit
content types | gradually stop | counting against character limit
certain content types | stop | counting against character limit
content types | gradually stop | counting against character limit in stages
character limit | is in | stages
certain content types | gradually stop | counting
content types | stop | counting
types | gradually stop | counting against character limit in stages
content types | stop | counting against character limit in stages
types | gradually stop | counting
certain types | stop | counting against character limit in stages
types | stop | counting against character limit in stages
certain content types | stop | counting against character limit in stages
certain content types | stop | counting
certain content types | counting against | character limit in stages
types | counting against | character limit in stages
content types | counting against | character limit in stages
types | stop | counting
certain types | counting against | character limit in stages
we | 've made in | recent times
we | 've made around | conversation in particular
CEO Jack Dorsey | is in | May
we | 've made in | times
we | 've made around | conversation
conversation | is in | particular
I | see | dialog
I | see | even more dialog
I | see | more dialog
I | see dialog because of | this
company | dramatically extending | maximum length
company | dramatically extending | maximum length of tweets
company | extending | maximum length
company | extending | maximum length of tweets
iPhone | of | Notes
it | looking into | ways
users | express thoroughly | themselves
speed | necessitated by | character limit
tweets | could fit within | SMS messages
it | even continues | looking
it | continues | looking into ways
users | express | themselves
it | continues | looking into new ways
it | even continues | looking into new ways
it | continues | looking
users | express more thoroughly | themselves
it | even continues | looking into ways
it | looking into | new ways
character limit | will center around | message
character limit | Starting at_time | week
character limit | will center around | message itself
character limit | Starting at_time | next week
its | opponents | which
Verge | found | evidence of Ergo project
Verge | conducted after | controversial ordinance
Verge | conducted in | December
city | has | drivers
union politics | is in | Seattle
Verge | conducted after | ordinance
Verge | conducted after | shortly controversial ordinance
Documents | related to | case
Verge | conducted after | shortly ordinance
Verge | evidence of | separate Ergo project
Verge | found | evidence of separate Ergo project
Verge | found | evidence
Verge | evidence of | Ergo project
Uber | characterized | effort into city 's landscape
Uber | characterized | effort as research into city 's landscape
Uber | characterized | effort as research
Uber | characterized | effort as research into city 's political landscape
Uber | confirmed | project
city | into | political landscape
Uber | characterized | effort
Uber | characterized | effort into city 's political landscape
recent developments | is In | one email
recent developments | is in | labor unionization
recent developments | is in | labor unionization
recent developments | is in | Seattle
recent developments | is in | Seattle
insight | offering | pay for consultation work
insight | offering | pay
insight | offering | pay on topic
insight | offering | pay for consultation work on topic
email | was sent in | mid-January
bargaining ordinance | was | passed
email | was | sent
collective bargaining ordinance | was | passed
Griffey | shared | email
Griffey | declined | offer
work | is | private
work | is | anonymous
email | identifies | himself
study | would deal According to | message
Seattle 's political stakeholders | is in | city
study | would deal with | Seattle 's stakeholders
study | would deal with | Seattle 's political stakeholders
Seattle | with | political stakeholders in city
study | would deal with | Seattle 's stakeholders in city
study | would deal with | Seattle 's political stakeholders in city
final report | be | submitted
report | was | due
final report | was | due
report | be | submitted relatively soon
report | be | submitted soon
final report | be | submitted soon
final report | be | submitted relatively soon
report | be | submitted
Uber customer service representatives | contacting | drivers
Uber customer service representatives | contacting | Seattle-based drivers
Seattle-based drivers | is with | new script
Uber customer service representatives | began In | January
one former employee | characterized as | union-busting
collective bargaining | characteristics of | work
bargaining | characteristics | unionization
collective bargaining | characteristics | unionization
bargaining | characteristics of | work
number | was | was considered
it | lobbied heavily behind | scenes
it | lobbied behind | scenes
bill | number of | studies
number | was | to Uber was considered
Seattle ordinance | was | was debated
Uber drivers | were | also deactivated
Uber drivers | were | deactivated
city | against lawsuit is | effort
Uber | face | fallout
Uber | continues In | New York
Uber | face | fallout from Ergo investigation
Uber | face | fallout from Ergo investigation into class action plaintiff
its investigation | barred | its report
US District Judge Jed Rakoff | ruled On | Monday
Ergo | pursuing | its investigation
Ergo | engaged in | fraudulent
Uber CEO Travis Kalanick | pay | Meyer
It | is | sad day
It | is | day
It | is | sad
Uber executive | testified In | deposition
Uber executive | testified In | deposition related
company | hired | Ergo
Uber executive | testified In | deposition related to case
company | hired Ergo for | four investigations
company | hired Ergo for | four separate investigations
its other operations | is with | firm
Satya Nadella | bounded into | conference room
Satya Nadella | bounded | eager
company | has | progress building
Microsoft | at | headquarters in Redmond
I | was at | Microsoft 's headquarters in Redmond
company | has | CEO
Microsoft 's headquarters | is in | Redmond
I | was at | Microsoft 's headquarters
Microsoft 's headquarters | was touting | company 's progress
him | look at | virtual calendar projected on wall
him | look at | virtual interactive calendar
him | look at | virtual interactive calendar projected on wall of his house
him | look at | virtual interactive calendar projected on wall
him | look at | virtual calendar projected
him | look at | virtual calendar projected on wall of his house
him | look at | virtual interactive calendar projected
him | look at | virtual calendar
Nadella | appeared | giddy
he | described | it
Microsoft | be under | his leadership
system | was | intelligent
interfaces | overtake apps as | our way
company | has | conversation as platform
information | accessing | range of services
chat-based interfaces | overtake apps as | our primary way
chat-based interfaces | overtake | apps
company 's conversation | represents | bet
information | accessing | range
chat-based interfaces | overtake apps as | our way
interfaces | overtake apps as | our primary way
interfaces | overtake | apps
company 's conversation | finding information for | shopping
company 's conversation | finding | information
it | has | brain
apps | smarter thanks to | cognitive APIs
apps | thanks to | cognitive APIs
apps | thanks to | APIs
apps | built on | nearly two decades of advancements
apps | built on | nearly two decades
apps | will become | thanks
apps | made | available
advancements | is in | machine learning
apps | built on | nearly two decades of advancements in machine learning
apps | made | available by Microsoft
them | understand | faces
apps | smarter thanks to | APIs
it | has | best brain
head start | is in | building bots
early experiment | is in | China
Microsoft | was first among | giants
Microsoft | release | true platform for chat interfaces
Microsoft | was | first
Microsoft | release | platform for chat interfaces
Microsoft | release | true platform
Microsoft | release | true platform for text-based chat interfaces
Microsoft | release | platform for text-based chat interfaces
Microsoft | release | platform
Microsoft | losing on | mobile
Microsoft | can win | next battle
Microsoft | can win | battle
Verge | described | tech industry 's search for killer bot
tech industry | has | search for killer bot
Verge | described | tech industry 's search
companies big | have accelerated | their development efforts
companies | have accelerated | their development efforts
Facebook | running on | its Messenger chat app
Facebook | running on | its popular Messenger chat app
Google | announced | assistant
Google | announced | new assistant
Google | announced | intelligent assistant running inside Allo
Google | announced | its Amazon Echo competitor
Google | announced | new intelligent assistant
Google | announced | intelligent assistant
Google | announced | intelligent assistant running
Google | announced | new assistant running inside Allo
new intelligent assistant | competitor | its
Google | announced | new intelligent assistant running inside Allo
Google | announced | assistant running inside Allo
Google | announced | assistant running
Google | announced | new assistant running
Google | announced | new intelligent assistant running
whose inputs | have captivated | developers
whose voice-based inputs | have captivated | developers
it | has | poised
it | 's poised | win
its API.Microsoft | is | proud
its API.Microsoft | is proud of | its work
its API.Microsoft | is proud of | its work on AI
Nadella | of | top lieutenants
it | invited | me
it | interview | some
its advancements | is in | natural language processing
Microsoft 's instincts | have | have spot-on
Microsoft 's historical instincts | have | have spot-on
Microsoft | has | historical instincts where technology is going
it | comes | acting
company | has | record
It | saw long | promise in smartphones
It | saw long | promise
It | saw promise long for | example
It | saw promise for | example
It | saw | promise
promise | is in | smartphones
It | saw | promise in smartphones
Apple | beat anyway | Google
Apple | beat anyway | Microsoft
Apple | beat | Google
Apple | beat | Microsoft
question | looming over | company 's efforts around AI
company | over | efforts around AI
question | looming over | company 's efforts
question looming | is | simple
newscaster | cut to | its weather forecaster
newscaster | cut to | Xiaoice
newscaster | cut away to | its weather forecaster
its | forecaster | Xiaoice
newscaster | cut away to | Xiaoice
it | 's bot | Chinese
whose name | is Chinese for | little Bing
whose name | is | Chinese
it | 's bot | Chinese for little Bing
whose name | is Chinese for | Bing
it | 's bot | Chinese for Bing
Bing | is in | as Microsoft 's perennial also-ran search engine
That | has | Bing
That | 's Bing as | as Microsoft 's also-ran search engine
That | 's Bing as | as Microsoft 's perennial also-ran search engine
face | transformed into | image
Xiaoice | shared | her forecast
face | even answering | question from anchor
face | transformed into | image microphone
face | answering | question
face | answering | question from anchor
face | even answering | question
that | fulfills | many
that | fulfills | many of promises of conversation
that | fulfills | many of promises
Xiaoice | is | big part
Xiaoice | is part of | answer
Xiaoice | is | big
Xiaoice | is big part of | answer
Xiaoice | is | part
you | want | know
Derrick Connell | head at | Bing.Xiaoice
Derrick Connell | head of | search engineering
Xiaoice excels | is in | conversation
bot | remember | your chats
bot | remember | your previous chats
bot | is programmed | sensitive to emotions
bot | is | programmed
bot | is programmed | sensitive
it | was | available
you | 're | how doing.After
Xiaoice | had | had added to 1.5 million conversations on Chinese mega-messenger app WeChat
Xiaoice | had | had added to 1.5 million conversations
it | was available for | three days
you | 're | doing.After
Xiaoice | ask | you
Xiaoice | had | had added
Xiaoice | had | had added to 1.5 million conversations on mega-messenger app WeChat
it | became | one celebrity accounts follow
it | became | one of most popular celebrity accounts
It | was later made | available
it | became | one popular celebrity accounts
it | became | one of popular celebrity accounts follow
it | became | one of celebrity accounts follow
it | became | one most popular celebrity accounts follow
it | became | one popular celebrity accounts follow
it | became | one of popular celebrity accounts
it | became | one of most popular celebrity accounts follow
It | was made | available
it | became | one of celebrity accounts
It | was | made
it | became | one celebrity accounts
It | was | later made
it | became | one most popular celebrity accounts
bot | has | Today has used
Xiaoice | points | way
impressive 26 | turns between | speaker
Xiaoice | points way toward | next generation
Xiaoice | points way toward | generation of search
Xiaoice | points way toward | generation
Xiaoice | points way toward | next generation of search
bot | has | has used
Web queries | returned | page
Web queries | traditionally returned | page
success | is in | China
Tay | was | fiasco
Microsoft | has | first English-language bot experiment
none | is | imminent
We | want | ecosystem
We | want | it
it | be | ecosystem
it | might | might Facebook Messenger
it | be | Skype
war | emerge over | bot standards
Microsoft | been | has uncharacteristically diplomatic
fears | mounting among | developers
Microsoft | been | has diplomatic
It | organized conference in | June
It | promote | cooperation among bot-makers
It | organized | conference in San Francisco
It | promote | cooperation
conference | is in | San Francisco
It | organized | conference
Lili Cheng | engineer at | Microsoft
It | was called | Botness
It | was | called
we | work on | together
Microsoft | position | itself
Microsoft | taking | lead with events
lead | is with | events like Botness
Microsoft | taking | lead
Microsoft | taking | lead with events like Botness
it | will have | fresh start in era
fresh start | is in | mobile era
it | will have | fresh start
it | will have | start in era
it | will have | fresh start in mobile era
it | will have | start in mobile era
it | will have | start
Microsoft | foothold in | new world
world | of | most popular messaging apps
Microsoft | lucrative foothold in | new world
Microsoft | lucrative foothold in | world
company | by | technology
Microsoft | foothold in | world
Bots | powered by | company technology
lucrative foothold | is in | new world
it | has | worth
it | has | here worth
Much | are working on | remains
Much | are working on | remains unreleased
executives | are | opaque
executives | are | often opaque
future | remains | opaque
Benedict Evans | said in | blog post
Benedict Evans | said in | recent blog post
Benedict Evans | futurist at | venture capital firm Andreessen Horowitz
most | is | is published
Qi Lu | make | case for Microsoft 's competitive advantage
Qi Lu | is | happy
Microsoft | for | competitive advantage
major tech company | is getting | ready
Qi Lu | make | case for Microsoft 's advantage
Qi Lu | make | case
company | has | applications
Nadella | on | senior leadership team
PhD | is with | 20 patents to his name
He | is revered among | colleagues of his I
He | is revered among | colleagues
He | is | revered
I | start After | few minutes
I | start | understand
I | start After | minutes
he | wearing socks with | sandals
he | wearing | socks
T-shirt | emblazoned with | three words
percentage | reflecting | users ' frustration with experience
users ' frustration | is with | experience
percentage | reflecting | users ' frustration
users | are resistant outside | handful of categories
users | are | resistant
users | are resistant outside | handful of major categories
users | downloading | apps
users | are resistant outside | handful
Seattle residents | might | might asked
they | take | couple times
they | take | couple
they | couple at_time | times
Seattle residents | download | app
they | take | couple times year
they | couple at_time | times year
they | were | best
we | do at | time
buttons | remain | efficient path
buttons | remain | path
buttons | remain | most efficient path
advancements | is in | natural language processing
you | want from | internet
you | want into | your phone
Lu | says with | conversation
you | get right | it
you | get | it
graphical interactions | is in | thoughtful meaningful way
people | are doing | lots
people | are doing | lots talking
first | is | conversation canvas
Microsoft | has | Office
people 's activity | involves | their friends
people 's activity | often involves | their friends
their friends | activity | coworkers
people | has | activity on internet
its registered users.The fourth piece | is platform for | artificial intelligence operate
its registered users.The fourth piece | is platform for | artificial intelligence
its 433 million registered users.The fourth piece | is platform for | artificial intelligence operate on
its 433 million registered users.The fourth piece | is | platform
its 433 million registered users.The fourth piece | is platform for | artificial intelligence operate
its registered users.The fourth piece | is | platform
its registered users.The fourth piece | is platform for | artificial intelligence operate on
it | spend | $ 26.2 billion
its 433 million registered users.The fourth piece | is platform for | artificial intelligence
it | acquire | LinkedIn
Microsoft | has | notably Xbox
Microsoft | has | Windows
Microsoft | has | Xbox
final piece | pay | you
piece | is | network
final piece | is | network
final piece | is network of | developers
piece | is network of | developers eager
final piece | is network of | developers eager
piece | is network of | developers
piece | pay | you
Microsoft 's assets | have | rivals
Microsoft | has | assets
Microsoft Build developer conference | is in | March.Individually
Microsoft 's assets | have | strong rivals
it | has | largest graph
Facebook | has | stronger conversational canvas
Facebook | arguably has canvas with | its family of messaging apps
it | has | largest social graph
it | certainly has | graph
Facebook | arguably has | conversational canvas
it | certainly has | social graph
it | certainly has | largest social graph
it | has | social graph
it | has graph for | example
it | has | graph
it | certainly has graph for | example
Facebook | has | canvas
Facebook | arguably has | stronger canvas
Facebook | arguably has | stronger conversational canvas
Facebook | arguably has canvas with | its family
it | certainly has | largest graph
Facebook | has | stronger canvas
Facebook | has | conversational canvas
Facebook | has canvas with | its family
Facebook | has canvas with | its family of messaging apps
Facebook | arguably has | canvas
it | has | access
it | has | broad access to hundreds of millions
it | has | broad access to hundreds
it | has | access to hundreds of millions
Google 's brain | might | might smarter
it | has | broad access
it | has | access to hundreds of millions of Android devices
Google | has | brain
it | broad access to | hundreds
it | has | broad access to hundreds of millions of Android devices
it | has | access to hundreds
it | access to | hundreds of millions
it | broad access to | hundreds of millions of Android devices
it | access to | hundreds of millions of Android devices
it | access to | hundreds
it | broad access to | hundreds of millions
brainMicrosoft 's embrace | became ago at | Code Conference
brainMicrosoft 's total embrace | became at | inaugural Code Conference
brainMicrosoft 's total embrace | became at | Code Conference
brainMicrosoft 's embrace | became at | Code Conference
brainMicrosoft 's embrace | became ago at | inaugural Code Conference
brainMicrosoft 's total embrace | became ago at | Code Conference
brainMicrosoft 's embrace | became at | inaugural Code Conference
brainMicrosoft 's total embrace | became ago at | inaugural Code Conference
conference | was | acquired
conference | was acquired at_time | year
conference | was acquired at_time | next year
Microsoft | has | future
he | demonstrated feature At | end
he | demonstrated | feature inside Skype
he | demonstrated | new feature inside Skype
he | demonstrated feature At | end of his talk
he | demonstrated | new feature
he | demonstrated | feature
their speech | allowing | them
their speech | is in | real time
them | communicate despite | language barrier
It | was | impressive demo
Nadella | announced | that
it | be | working
It | was | impressive
It | was | demo
Nadella | has | timeline
Nadella | announced | that by end
It | was | complete
Peter Lee | president at | Microsoft Research
Satya | put | us
Satya | really put | us
team | had | two concerns
team | Initially had | two major concerns
team | had | two major concerns
team | Initially had | two concerns
they | have | less freedom
they | have | freedom
freedom | pursue | breakthroughs
Microsoft Research | bringing products to | market
freedom | pursue | scientific breakthroughs
less freedom | pursue | scientific breakthroughs
they | suddenly have | freedom
they | suddenly have | less freedom
less freedom | pursue | breakthroughs
Satya | put | us
Satya | really put | us
company 's language models | using | body
company | has | language models
company 's language models | using | large body of formal speeches
company 's language models | using | body of formal speeches
company 's language models | using | body of speeches
company 's language models | had | had built
company 's language models | using | large body of speeches
company 's language models | using | large body
speakers | use | multiple languages
speakers | use | languages
computers | have | difficult time
computers | have | time
computers | have | very difficult time
Lee 's team | cheered on | on Nadella
Lee | has | team
Lee 's team | released | preview
product | became widely | available
product | became widely at_time | next year
product | became | available
product | became at_time | next year
product | became widely at_time | year
product | became at_time | year
you | somehow get | people past that
you | get | people
you | get | people past that
you | somehow get | people
dips | is in | morale
Microsoft | can translate | conversations between eight languages
Microsoft | can now translate | conversations between eight languages
Microsoft | can translate | conversations between eight different languages
Microsoft | can now translate | conversations
Microsoft | can translate | conversations
Microsoft | can now translate | conversations between eight different languages
You | want | hear
transcripts | is in | real time
speech | of possession is | especially speech models
Microsoft | is pouring AI resources into | some of its franchises
Microsoft | is pouring AI resources into | some
Microsoft | is pouring | AI resources
Clippy | has | revengeIn
Microsoft | is pouring AI resources into | some its biggest franchises
Microsoft | is pouring AI resources into | some of its biggest franchises
Microsoft | is pouring AI resources into | some its franchises
it | anticipate | your needs
you | unlock | your phone.Microsoft
it | 's idea of | Google
it | has | idea
it | 's foundational idea of | Google
it | has | foundational idea
